_normalized_mun_slug,_normalized_mun_cod_ibge,vlr_investimento_sum,vlr_desembolsado_sum,vlr_investimento_por_populacao,vlr_desembolsado_por_populacao,populacao
fonte-boa-am,1301605,7788395,0,Infinity,NaN,
potengi-ce,2311207,1098016.41,541150,Infinity,Infinity,
nepomuceno-mg,3144607,2194371.28,1197405.1400000001,Infinity,Infinity,
barueri-sp,3505708,21691125.4,10960019,Infinity,Infinity,
gouvelandia-go,5209150,934707.83,706802.37,Infinity,Infinity,
itape-ba,2916203,1706019.98,1436713.1400000001,Infinity,Infinity,
tibagi-pr,4127502,329543.86,295300,Infinity,Infinity,
cipotanea-mg,3116308,891271.77,381401.35,Infinity,Infinity,
caranaiba-mg,3113107,499832.72,222857.14,Infinity,Infinity,
luminarias-mg,3138708,300000,284681.81,Infinity,Infinity,
abatia-pr,4100103,1211308.3800000001,1009850,Infinity,Infinity,
quissama-rj,3304151,3350598.8,2561144.27,Infinity,Infinity,
cajapio-ma,2102408,302200,295300,Infinity,Infinity,
guiricema-mg,3129004,541714.61,245850,Infinity,Infinity,
ijaci-mg,3130408,1464453.4100000001,737550,Infinity,Infinity,
adelandia-go,5200159,1265794.54,512781.01,Infinity,Infinity,
pocrane-mg,3151909,1706534.4100000001,1069710.3,Infinity,Infinity,
paulinia-sp,3536505,1449052.27,394200,Infinity,Infinity,
itabira-mg,3131703,1026637.21,484600,Infinity,Infinity,
aracitaba-mg,3103306,520401.1,232380.95,Infinity,Infinity,
piraque-to,1717206,3613494.86,1634372.76,Infinity,Infinity,
dezesseis-de-novembro-rs,4306353,762565.8400000001,461713.14,Infinity,Infinity,
jaupaci-go,5212006,1444261.15,365714.28,Infinity,Infinity,
umari-ce,2313708,943041.38,431650.22,Infinity,Infinity,
chuvisca-rs,4305447,282003.85,238750,Infinity,Infinity,
silves-am,1304005,3756273,3247000,Infinity,Infinity,
pescaria-brava-sc,4212650,521540.01,238750,Infinity,Infinity,
godoy-moreira-pr,4108551,569586.19,238750,Infinity,Infinity,
parintins-am,1303403,14611500,14325000,Infinity,Infinity,
galinhos-rn,2404101,582000,287306,Infinity,Infinity,
barcelos-am,1300409,6000667.32,960019,Infinity,Infinity,
nazaria-pi,2206720,580000,28900.15,Infinity,Infinity,
anori-am,1300102,2875210,,Infinity,NaN,
linha-nova-rs,4311643,250000,,Infinity,NaN,
pirapetinga-mg,3151107,4784092.109999999,0,Infinity,NaN,
